Practice_ID,Quarter,Year,Visit_Volume,Avg_Wait_Time_Min,Patient_Satisfaction_Score,No_Show_Rate,Followup_Adherence_Rate,Staff_to_Patient_Ratio,Provider_Productivity,A1C_Screening_Compliance,Total_Providers_FTE,Total_Staff_FTE,Unique_Patients_Seen
AP010,Q1,2021,2549,36.0,48.9,71,71,0.022,1576.7,30.2,5.5,21.0,605
AP002,Q4,2020,636,52.7,66.7,73,95,0.014,2079.2,81.8,4.0,21.1,944
AP009,Q3,2024,1597,58.6,26.2,64,60,0.043,966.2,89.4,4.0,19.8,519
AP009,Q3,2021,2190,11.8,70.9,82,73,0.017,437.5,81.5,5.6,35.7,342
AP010,Q3,2021,2700,10.0,83.7,68,81,0.084,1812.0,88.8,5.1,27.4,1646
AP001,Q4,2023,2421,0.9,90.8,90,59,0.037,1540.0,38.0,3.6,48.8,371
AP003,Q4,2022,1813,59.0,55.6,78,82,0.027,1102.0,99.1,3.5,49.4,663
AP005,Q2,2020,4265,36.3,55.5,55,89,0.034,1707.1,20.2,5.0,19.2,1605
AP011,Q3,2023,2433,4.0,93.1,78,97,0.024,646.6,38.4,2.0,12.4,1847
AP008,Q1,2022,4271,35.6,99.5,79,80,0.078,698.5,24.0,2.6,48.3,1177
AP001,Q1,2022,2769,40.2,86.1,51,48,0.016,501.5,31.6,4.6,26.0,1976
AP003,Q4,2021,2174,4.1,20.5,100,58,0.015,1520.3,55.2,2.6,48.5,1830
AP002,Q2,2024,1566,48.9,20.9,88,83,0.032,1335.0,47.6,3.4,46.7,1576
AP011,Q1,2020,4468,20.2,68.4,65,77,0.032,434.4,19.6,4.8,21.0,734
AP003,Q2,2024,2408,42.8,34.0,83,68,0.03,971.8,46.9,5.9,13.6,582
AP009,Q1,2023,3456,39.1,54.9,67,93,0.015,741.8,8.7,1.4,47.6,967
AP010,Q4,2022,1817,33.9,27.0,90,76,0.022,294.3,11.9,4.7,17.3,1136
AP006,Q2,2024,4943,24.1,34.5,92,72,0.009,957.4,4.5,1.3,48.9,523
AP003,Q3,2020,2545,21.3,69.4,82,81,0.021,809.5,93.6,1.0,27.1,328
AP009,Q3,2023,2092,1.8,15.5,45,84,0.018,3136.7,22.0,3.4,40.3,529
AP008,Q2,2024,4390,8.9,56.8,91,64,0.049,710.9,23.4,5.0,46.8,698
AP007,Q3,2022,1810,20.8,84.0,88,61,0.018,529.1,9.4,2.9,36.9,1884
AP002,Q2,2024,837,45.2,62.6,70,89,0.025,261.8,14.4,5.1,39.2,1531
AP002,Q4,2022,984,53.4,81.9,74,70,0.033,1754.5,21.6,1.0,33.6,978
AP009,Q1,2023,3878,40.0,7.5,73,81,0.021,855.5,17.4,3.8,11.9,1658
AP009,Q1,2021,1640,50.8,96.0,64,82,0.008,663.6,63.8,3.2,36.3,629
AP004,Q4,2020,550,27.6,75.9,78,63,0.01,885.1,93.1,4.9,23.6,562
AP010,Q2,2024,585,25.0,30.2,80,69,0.065,395.0,74.8,4.9,49.8,1273
AP002,Q3,2020,1269,20.2,81.2,69,93,0.016,1369.1,42.6,4.8,27.2,335
AP011,Q2,2024,609,58.9,26.7,60,48,0.06,274.9,51.2,4.7,35.9,320
AP011,Q2,2024,4881,20.3,4.3,84,78,0.089,478.1,47.2,1.8,31.3,1006
AP004,Q3,2021,1700,54.1,34.7,83,64,0.015,401.2,36.0,5.3,20.0,1600
AP003,Q1,2020,1317,10.4,46.3,79,88,0.023,464.7,96.3,3.0,29.9,1980
AP008,Q2,2021,2596,53.4,13.5,83,72,0.059,887.0,17.2,4.1,34.6,1806
AP007,Q3,2023,3594,28.9,16.5,75,74,0.036,1900.4,24.3,2.8,25.7,1215
AP012,Q4,2021,3829,43.8,27.7,88,73,0.02,279.8,48.6,4.1,23.0,354
AP003,Q4,2022,2246,34.8,22.0,67,93,0.026,1871.7,42.6,4.8,43.3,1559
AP004,Q1,2021,4332,15.0,37.9,87,82,0.022,1437.1,87.9,4.7,15.2,1301
AP001,Q3,2021,1577,39.3,6.0,71,76,0.012,573.6,46.7,5.9,19.0,1276
AP010,Q4,2023,3825,50.9,10.7,96,63,0.016,821.5,85.7,1.2,22.1,490
AP011,Q1,2022,1841,5.1,85.1,88,98,0.025,1154.1,42.1,5.9,29.6,1008
AP008,Q4,2024,4854,8.8,84.6,71,78,0.037,791.9,43.6,2.5,22.1,823
AP003,Q1,2023,1592,50.9,28.7,58,71,0.064,1945.5,45.0,3.8,36.6,428
AP002,Q4,2024,4932,0.8,12.8,79,85,0.02,2265.6,78.9,1.5,45.5,1253
AP002,Q1,2024,3762,31.3,51.3,46,84,0.018,753.1,6.3,5.8,41.9,546
AP012,Q3,2024,3735,20.4,37.1,81,85,0.047,594.7,66.3,3.8,32.4,1265
AP009,Q2,2023,1878,43.3,22.0,47,79,0.042,375.7,22.6,1.4,25.8,1051
AP010,Q3,2023,3281,49.5,16.1,82,54,0.027,1094.1,0.7,2.5,43.0,634
AP011,Q3,2021,2733,10.9,59.3,92,62,0.016,243.9,29.1,5.2,42.3,1432
AP001,Q1,2023,745,56.9,8.0,56,79,0.013,556.3,23.2,5.4,36.1,353
AP005,Q2,2021,2114,34.3,39.9,77,83,0.017,1738.2,23.5,3.5,10.2,1505
AP010,Q1,2022,1727,20.5,62.7,91,59,0.03,325.1,20.9,3.0,39.1,1881
AP004,Q4,2024,882,54.0,74.8,81,61,0.07,243.5,54.7,1.1,39.1,1943
AP002,Q3,2024,4563,13.5,38.4,59,74,0.072,677.7,28.6,2.9,49.6,1429
AP011,Q4,2023,1532,3.9,15.4,90,90,0.006,140.5,67.6,2.5,36.9,1528
AP004,Q1,2022,2827,49.1,53.1,84,96,0.033,1354.7,76.6,4.9,41.4,735
AP002,Q1,2023,2704,15.3,75.1,76,65,0.022,1257.4,87.2,4.2,18.7,1144
AP011,Q3,2023,2979,17.4,38.5,91,80,0.043,1342.4,25.7,2.9,40.1,1647
