Practice_ID,Practice_Name,Practice_Type,Quarter,Year,Visit_Volume,Avg_Wait_Time_Min,Patient_Satisfaction_Score,No_Show_Rate,Followup_Adherence_Rate,Staff_to_Patient_Ratio,Provider_Productivity,A1C_Screening_Compliance,Total_Providers_FTE,Total_Staff_FTE,Unique_Patients_Seen
PRAC33171,Navarro-Ramos,Primary Care,Q2,2023,1622.0,33.960912030052285,2.9605894106943267,0.25753274078810906,0.7580594184448027,0.08961911874533234,25.222779548032456,0.7771973632248553,2.0,4.0,959.0
PRAC91279,"Khan, Hernandez and Horn",Hospital,Q2,2022,3188.0,40.08723269179295,2.932548212346229,0.09278707963890709,0.8143680652220355,0.17573221757322174,23.209123853266224,0.8762020149099223,7.0,14.0,1946.0
PRAC7729,"Williams, Reeves and Bailey",Specialty,Q2,2023,859.0,31.658188145316824,3.5246473384476418,,0.6816583777889356,0.4178272980501393,14.015795279248337,0.6856634780453905,5.0,20.0,1204.0
PRAC91279,"Khan, Hernandez and Horn",Hospital,Q2,2023,3062.0,,2.4640478465606455,0.07947303843368451,0.7001660066251932,0.07494379215588308,18.49766819092943,0.6999798888828633,5.0,10.0,3251.0
PRAC86111,Snyder-Vang,Specialty,Q1,2021,5619.0,27.745749483312302,3.5056250658322328,0.13362301047966196,0.7016212030707842,0.1355319629545968,,0.9279329417287372,5.0,20.0,3218.0
PRAC48194,Shaw and Sons,Primary Care,Q2,2021,6476.0,29.746702785848893,2.475477752049554,,0.7120192437398071,0.02867383512544803,24.073486242294877,0.8505996401661321,2.0,4.0,3082.0
PRAC78120,Smith PLC,Primary Care,Q2,2021,1830.0,26.584139223492578,3.025390102711052,0.10992006929992255,0.8591294439958731,0.2782608695652174,21.78146674064584,0.9877706328615898,4.0,16.0,1039.0
PRAC62562,Andersen-Gilbert,Specialty,Q2,2021,1211.0,40.794301565345194,,0.14250827946094557,0.791913813907839,0.32165832737669764,11.791375069445015,0.6517083922708267,5.0,15.0,1003.0
PRAC44924,"Mccullough, Gould and Ingram",Primary Care,Q1,2021,1595.0,52.38142921596055,1.6425673085555823,0.24495136734130957,0.8035752264684852,0.3717472118959108,18.657266507483097,0.6409155826661749,,20.0,1421.0
PRAC78120,Smith PLC,Primary Care,Q4,2023,,28.79579672693293,4.6396020427188,,0.6821776136181864,0.18551236749116606,13.036876090519254,0.7555872119987523,7.0,14.0,1407.0
